变更日期,证券代码,证券简称,变更前全称,变更后全称
2005-01-26,001696,宗申动力,成都宗申热动力机械股份有限公司,重庆宗申动力机械股份有限公司
2005-01-27,000769,*ST 大菲,大连菲菲澳家现代农业股份有限公司,沈阳菲菲澳家现代农业股份有限公司
2005-03-25,000677,ST海龙,山东潍坊海龙股份有限公司,山东海龙股份有限公司
2005-04-05,002043,兔 宝 宝,安徽飞亚纺织发展股份有限公司,德华兔宝宝装饰新材股份有限公司
2005-04-06,000955,欣龙控股,海南欣龙无纺股份有限公司,欣龙控股（集团）股份有限公司
2005-04-08,000716,黑芝麻,广西斯壮股份有限公司,广西南方控股股份有限公司
2005-04-25,000739,普洛药业,青岛普洛股份有限公司,普洛康裕股份有限公司
2005-05-13,000616,*ST海投,大连亿城集团股份有限公司,亿城集团股份有限公司
2005-05-23,000008,神州高铁,广东亿安科技股份有限公司,广东宝利来投资股份有限公司
2005-05-23,002019,亿帆医药,浙江鑫富生化股份有限公司,浙江杭州鑫富药业股份有限公司
2005-05-30,000826,*ST启环,国投资源发展股份有限公司,合加资源发展股份有限  公司
2005-05-30,000582,北部湾港,北海新力实业股份有限公司,北海市北海港股份有限公司
2005-05-31,000826,*ST启环,合加资源发展股份有限  公司,合加资源发展股份有限公司
2005-06-16,000748,长城信息,湖南计算机股份有限公司,长城信息产业股份有限公司
2005-06-28,000049,德赛电池,深圳市万山实业股份有限公司,深圳市德赛电池科技股份有限公司
2005-07-08,000537,绿发电力,天津南开戈德股份有限公司,天津广宇发展股份有限公司
2005-07-25,000552,甘肃能化,甘肃长风特种电子股份有限公司,甘肃靖远煤电股份有限公司
2005-07-26,000552,甘肃能化,甘肃靖远煤电股份有限公司,甘肃长风特种电子股份有限公司
2005-07-27,000658,ST 海 洋,启迪集团股份有限公司,厦门海洋实业(集团)股份有限公司
2005-07-27,000552,甘肃能化,甘肃长风特种电子股份有限公司,甘肃靖远煤电股份有限公司
2005-08-08,000526,学大教育,厦门好时光实业股份有限公司,厦门旭飞投资股份有限公司
2005-08-18,000004,国华退,深圳市北大高科技股份有限公司,深圳中国农大科技股份有限公司
2005-09-20,000571,新大洲A,海南新大洲控股股份有限公司,新大洲控股股份有限公司
2005-10-12,000042,中洲控股,深圳市长城地产(集团)股份有限公司,深圳市长城投资控股股份有限公司
2005-10-21,000892,欢瑞世纪,长丰通信集团股份有限公司,星美联合股份有限公司
2005-10-24,000546,金圆股份,吉林轻工集团股份有限公司,吉林光华控股集团股份有限公司
2005-10-26,000408,藏格矿业,河北华玉股份有限公司,玉源控股股份有限公司
2005-11-08,000021,深科技,深圳开发科技股份有限公司,深圳长城开发科技股份有限公司
2005-11-10,002024,ST易购,苏宁电器连锁集团股份有限公司,苏宁电器股份有限公司
2005-11-17,002027,分众传媒,广州七喜电脑股份有限公司,七喜控股股份有限公司
2005-12-14,000718,苏宁环球,吉林纸业股份有限公司,苏宁环球股份有限公司
2005-12-14,000046,*ST泛海,光彩建设集团股份有限公司,泛海建设集团股份有限公司
2006-01-20,000836,ST富通,天津天大天财股份有限公司,天津鑫茂科技股份有限公司
2006-02-09,000918,*ST嘉凯,湖南亚华种业股份有限公司,湖南亚华控股集团股份有限公司
2006-02-22,000925,众合科技,浙江浙大海纳科技股份有限公司,浙江海纳科技股份有限公司
2006-03-27,000835,长动退,上海隆源双登实业股份有限公司,四川圣达实业股份有限公司
2006-04-25,000031,大悦城,深圳市宝恒(集团)股份有限公司,中粮地产（集团）股份有限公司
2006-05-22,000502,绿景退,恒大地产股份有限公司,绿景地产股份有限公司
