sample_group,selection_ranker,selection_seed,strategy_id,policy_id,equity_row_count,equity_start_date,equity_end_date,minimum_marked_equity,maximum_marked_equity,mean_daily_return,daily_return_std,daily_sharpe,annualized_geometric_return,minimum_daily_return,maximum_daily_return,mean_position_count,invested_day_fraction,maximum_position_count
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,78981.00500279505,114163.06641124608,0.00018364359345165825,0.014974278345486876,0.19468395081213766,0.018063643981722555,-0.057400560752870367,0.04030288819378258,4.883040935672515,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_1d,342,2022-01-04,2023-06-02,78170.01592921319,128731.23568537185,-0.0002980302870894466,0.019198832313026916,-0.24642561900043222,-0.11463807321293251,-0.08214640162298092,0.05923545976199063,4.9035087719298245,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_2d,342,2022-01-04,2023-06-02,81969.12995328908,144728.5404316564,0.0006710789905510577,0.01654981275272808,0.6436960268758403,0.14396048713496334,-0.06628718559299174,0.05956490622472321,4.912280701754386,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_3d,342,2022-01-04,2023-06-02,73983.08779877395,98555.459690819,-0.0003051849928419944,0.015674337594092796,-0.30908238006813626,-0.10236713230226901,-0.058504816580040475,0.052895219977050045,4.868421052631579,0.9736842105263158,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_5d,342,2022-01-04,2023-06-02,66626.39843070132,98555.459690819,-0.0010077250298424472,0.015575756319082855,-1.0270537485098195,-0.24796024583501108,-0.06526563740463931,0.03659628778311075,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,67884.79999708792,98555.459690819,-0.0009260578322435463,0.015167944938587682,-0.9691960514229546,-0.23101511405572017,-0.08203773699748951,0.03936199387078387,4.880116959064328,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,63542.06462224922,101117.52330948,-0.0009652863650935693,0.015805377004446917,-0.9695084142366982,-0.24037229390996262,-0.06710165058826789,0.052947992102353014,4.935672514619883,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,72457.12903736426,100258.463688435,-0.0004383412005142413,0.015696406568815317,-0.4433148953690915,-0.13211971292806413,-0.060509354439371554,0.05141243150790653,4.845029239766082,0.9707602339181286,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_1d,342,2022-01-04,2023-06-02,60997.82528624905,100258.463688435,-0.0013026607742124678,0.014974332345621453,-1.3809696639674856,-0.3000679086610417,-0.04807964087830652,0.04473679557151389,5.0,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_2d,342,2022-01-04,2023-06-02,57376.94958475901,104447.34933102614,-0.0014868042524422216,0.015435235982032294,-1.529117263166383,-0.3332467224150507,-0.08522892682935546,0.04382244716619854,4.853801169590644,0.9707602339181286,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_reclaim,next_open_3d,342,2022-01-04,2023-06-02,50142.03029657684,100258.463688435,-0.00136591029804615,0.018179704586547586,-1.1927121074980624,-0.32033942309358177,-0.06565728179870112,0.08297657777382605,4.862573099415204,0.9736842105263158,5
