sample_group,strategy_id,ma_period,horizon,gross_observed_count,gross_mean,gross_median,gross_win_rate,gross_profit_factor,net_observed_count,net_mean,net_median,net_win_rate,net_profit_factor,mean_cost_drag,median_cost_drag,win_rate_change,observed_count_difference
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,3d,73193,0.0015964005042504,-0.0012953367875647,0.4807700189908871,1.0838624114231754,73193,-0.0014246675734617,-0.0043076826541978,0.4576257292364024,0.930748720466691,0.0030210680777121,0.0030123458666331,-0.023144289754484737,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,5d,73153,0.0008691243734237,-0.0022123893805308,0.4774240290897161,1.035444867075881,73153,-0.0021497500555279,-0.0052219691845932,0.4591472666876273,0.9174568237093552,0.0030188744289516003,0.0030095798040624,-0.01827676240208881,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,5m,73338,0.0003671971769188,0.0,0.3933295153944749,1.1559457876116537,73338,-0.002650163312656,-0.0030162529300139,0.2361804248820529,0.3961065291092032,0.0030173604895748,0.0030162529300139,-0.157149090512422,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,60,60m,73331,0.0006980725921191,-0.0011565150346953,0.4235862050156141,1.1313244144942602,73331,-0.0023202859013961,-0.0041692796228471,0.3443427745428263,0.6749079265578569,0.0030183584935152,0.0030127645881518,-0.07924343047278781,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,15m,50898,0.0005267646968939,0.0,0.407324452827223,1.1517943627197795,50898,-0.0024910770886802,-0.003016252930014,0.2894219812173366,0.5387027454006331,0.0030178417855741,0.003016252930014,-0.11790247160988643,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,1d,50813,0.0019751218273466,-0.0003533568904594,0.4788735166197627,1.16795947082438,50813,-0.0010470885696661,-0.0033685440067169,0.4436856709897073,0.9214968465746878,0.0030222103970126996,0.0030151871162575,-0.03518784563005539,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,2d,50794,0.0020773104253901,-0.0007077140835102,0.4806866952789699,1.13363978890657,50794,-0.0009452081982808,-0.0037218323688461,0.4534984446981927,0.9447092799339304,0.0030225186236709,0.0030141182853359,-0.027188250580777173,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,30m,50896,0.00064821091484,-0.0007239821139071,0.4140207481923923,1.150649425218646,50896,-0.0023699971832448,-0.0037380513307487,0.3185122602955045,0.6162702379792536,0.0030182080980848,0.0030140692168416,-0.09550848789688782,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,3d,50782,0.0020302898363519,-0.0015155357729031,0.4773738726320349,1.108668810843634,50782,-0.0009920869613295,-0.0045272174637013,0.4542948288763735,0.9509620098171636,0.0030223767976814,0.0030116816907981995,-0.023079043755661388,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,5d,50776,0.001235066095129,-0.001919613691721,0.4800102410587679,1.0515192748057347,50776,-0.0017849121066129,-0.0049300765813126,0.4609855049629746,0.9299824070601524,0.0030199782017419,0.0030104628895916,-0.019024736095793304,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,5m,50899,0.0003631312889644,0.0,0.3898308414703629,1.151972035913817,50899,-0.0026542169368635,-0.0030162529300139,0.2389044971413976,0.4004722836113266,0.0030173482258279,0.0030162529300139,-0.1509263443289653,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,60m,50888,0.0006464781835711,-0.0011080335810908,0.4219462348687313,1.1200059324800828,50888,-0.002371724688158,-0.0041209444015692,0.3459558245558874,0.6709739730537109,0.0030182028717291,0.0030129108204784002,-0.07599041031284387,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,15m,38396,0.0003677916460783,-0.0003177629488401,0.397827898739452,1.105133452276,38396,-0.0026495706365655,-0.0033330574254286,0.2805240129180122,0.5139779988075367,0.0030173622826438,0.0030152944765885,-0.1173038858214398,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,1d,38337,0.0024836220832514,0.0,0.478519445966038,1.2191874071630793,38337,-0.000540122079148,-0.0030162529300139,0.4412708349636122,0.9581751169866576,0.0030237441623994,0.0030162529300139,-0.037248611002425824,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,2d,38310,0.0027284497245602,-0.0006695682036024,0.4799530148786217,1.1860229436242435,38310,-0.0002960328999296,-0.0036838015465603,0.4522317932654659,0.981752916664556,0.0030244826244898,0.0030142333429579,-0.027721221613155766,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,30m,38396,0.0005351039592382,-0.0007079668195373,0.4105375559954162,1.1242347617529198,38396,-0.0024827629796603,-0.0037220843425573,0.3152672153349307,0.5987924988272717,0.0030178669388985,0.00301411752302,-0.09527034066048551,0
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,3d,38313,0.0031276776960122,-0.000668449197861,0.4824994127319709,1.179121833498296,38313,0.0001019908989836,-0.0036826859160234,0.4574165426878605,1.0053683990657096,0.0030256867970286,0.0030142367181624,-0.025082870044110417,0
