selection_ranker,selection_seed,strategy_id,policy_id,net_return_primary,maximum_drawdown_primary,fully_resolved_primary,net_return_supplemental,maximum_drawdown_supplemental,fully_resolved_supplemental,same_return_sign,return_difference_primary_minus_supplemental
flow_quality,0,s4_reclaim_vwap_support,fast_failure_2pct_target4pct_2d,-0.5805930396,-0.5892704108,True,0.0045498916,-0.0263782835,True,False,-0.5851429311999999
flow_quality,0,s4_reclaim_vwap_support,momentum_trail_4pct_5d,-0.5026017244,-0.5187156971,True,-0.0452125661,-0.0571513818,True,True,-0.45738915829999993
flow_quality,0,s4_reclaim_vwap_support,next_open_1d,-0.451162869,-0.4881084751,False,-0.0432864195,-0.0710796651,True,True,-0.4078764495
flow_quality,0,s4_reclaim_vwap_support,next_open_2d,-0.3338357148,-0.3611495163,True,-0.0695398894,-0.0953999448,True,True,-0.2642958254
flow_quality,0,s4_reclaim_vwap_support,next_open_3d,-0.075087218,-0.2598966659,False,-0.0273072944,-0.0520019558,True,True,-0.047779923599999996
flow_quality,0,s4_reclaim_vwap_support,next_open_5d,-0.2498418009,-0.3371893566,True,-0.0495232831,-0.061037347,True,True,-0.20031851779999998
flow_quality,0,s4_reclaim_vwap_support,protect_3pct_target6pct_3d,-0.4409609335,-0.4752947846,False,-0.0318781522,-0.0326033499,True,True,-0.4090827813
flow_quality,1,cs_r3_leader_confirmation,fast_failure_2pct_target4pct_2d,-0.5773719823,-0.604119568,False,-0.0147166234,-0.0497285215,True,True,-0.5626553589
flow_quality,1,cs_r3_leader_confirmation,momentum_trail_4pct_5d,-0.4113981653,-0.4490171566,False,-0.0142426665,-0.0305622516,True,True,-0.3971554988
flow_quality,1,cs_r3_leader_confirmation,next_open_1d,-0.6131999219,-0.622069147,False,-0.0748864147,-0.0956902782,True,True,-0.5383135071999999
flow_quality,1,cs_r3_leader_confirmation,next_open_2d,-0.1291635414,-0.3157693429,False,0.0050800344,-0.0449999026,True,False,-0.1342435758
flow_quality,1,cs_r3_leader_confirmation,next_open_3d,-0.3536029754,-0.5476220024,False,0.0077542475,-0.0535438329,True,False,-0.3613572229
flow_quality,1,cs_r3_leader_confirmation,next_open_5d,-0.1102649547,-0.3024839587,False,-0.0419170141,-0.0585272157,True,True,-0.0683479406
flow_quality,1,cs_r3_leader_confirmation,protect_3pct_target6pct_3d,-0.3430638826,-0.3508962844,False,-0.0150934619,-0.0562749525,True,True,-0.3279704207
flow_quality,1,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,-0.0947758813,-0.324928193,True,-0.0483409034,-0.0653756272,True,True,-0.0464349779
flow_quality,1,fu_r3_core_pullback,momentum_trail_4pct_5d,-0.0681945287,-0.2283694892,False,-0.0390469495,-0.0547635983,True,True,-0.02914757920000001
flow_quality,1,fu_r3_core_pullback,next_open_1d,-0.2536264048,-0.3458700944,False,-0.0328429043,-0.0549584056,True,True,-0.22078350049999998
flow_quality,1,fu_r3_core_pullback,next_open_2d,-0.1173653032,-0.3034980622,True,-0.0226829663,-0.0497976039,True,True,-0.09468233690000001
flow_quality,1,fu_r3_core_pullback,next_open_3d,-0.1428029143,-0.3086002444,True,-2.015e-07,-0.0317720719,True,True,-0.1428027128
flow_quality,1,fu_r3_core_pullback,next_open_5d,-0.2148701981,-0.2820760073,False,-0.0294892198,-0.0504386383,True,True,-0.1853809783
flow_quality,1,fu_r3_core_pullback,protect_3pct_target6pct_3d,-0.2056058684,-0.3747104755,True,-0.0734601873,-0.0863191086,True,True,-0.13214568110000002
flow_quality,1,ht_r3_core_pullback,fast_failure_2pct_target4pct_2d,-0.618582587,-0.6667856462,False,-0.0258684936,-0.0626741507,True,True,-0.5927140934
flow_quality,1,ht_r3_core_pullback,momentum_trail_4pct_5d,-0.4854207798,-0.5491233185,False,-0.044866217,-0.0579614627,True,True,-0.4405545628
flow_quality,1,ht_r3_core_pullback,next_open_1d,-0.5254733553,-0.6029979271,False,-0.0508073454,-0.0738005173,True,True,-0.47466600989999996
flow_quality,1,ht_r3_core_pullback,next_open_2d,-0.2041166397,-0.4585137412,False,-0.0385790034,-0.0509916478,True,True,-0.16553763629999999
