sample_group,sample_variant,selection_ranker,strategy_id,policy_id,signal_year,observed_seed_count,positive_seed_count,positive_seed_fraction,net_return_mean,net_return_median,net_return_standard_deviation,net_return_minimum,net_return_q25,net_return_q75,net_return_maximum
primary_development_2022_2023_partial,current_contract,random_hash,ng_r1_auction_reclaim,next_open_3d,2022,5,2,0.4,0.0045498500295364066,-0.044717025564557256,0.07086773650397722,-0.05769295572239108,-0.055968669927297654,0.07732676427682028,0.10380113708510774
primary_development_2022_2023_partial,current_contract,random_hash,ng_r1_auction_reclaim,next_open_3d,2023,5,2,0.4,-0.002473927093426953,-0.0174897050095858,0.05762315065165452,-0.0928072586384927,-0.019423943885405026,0.043663776217324646,0.07368749584902412
primary_development_2022_2023_partial,current_contract,sector_leader,s0_distance_only,next_open_2d,2022,5,0,0.0,-0.00183796342991982,-0.00183796342991982,0.0,-0.00183796342991982,-0.00183796342991982,-0.00183796342991982,-0.00183796342991982
primary_development_2022_2023_partial,current_contract,sector_leader,s0_distance_only,next_open_2d,2023,5,0,0.0,-0.005074216483056171,-0.005074216483056171,0.0,-0.005074216483056171,-0.005074216483056171,-0.005074216483056171,-0.005074216483056171
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_volume_proxy,next_open_5d,2022,5,2,0.4,-0.03837852831133657,-0.011762234825299478,0.15132599257243923,-0.29567651902963077,-0.07796812248978913,0.027849659212982214,0.16566457557505432
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_volume_proxy,next_open_5d,2023,5,3,0.6,0.011759843578076112,0.022366318988208178,0.054855859502648506,-0.05685239252182683,-0.03444128236093169,0.02738309571181663,0.10034347807311428
primary_development_2022_2023_partial,current_contract,sector_leader,cs_r3_leader_confirmation,next_open_5d,2022,5,5,1.0,0.06199028612829505,0.06199028612829505,0.0,0.06199028612829505,0.06199028612829505,0.06199028612829505,0.06199028612829505
primary_development_2022_2023_partial,current_contract,sector_leader,cs_r3_leader_confirmation,next_open_5d,2023,5,0,0.0,-0.0696175585122012,-0.0696175585122012,0.0,-0.0696175585122012,-0.0696175585122012,-0.0696175585122012,-0.0696175585122012
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,2022,5,1,0.2,-0.09619772623419312,-0.17440267512691332,0.19953729944075088,-0.34063661027912173,-0.17903844999023144,-0.04201156338774581,0.2551006676130467
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,fast_failure_2pct_target4pct_2d,2023,5,5,1.0,0.08579763715172284,0.0850761791130441,0.0686357419310646,0.004381236008346168,0.024033240252079535,0.1206246214433917,0.1948729089417527
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_5d,2022,5,5,1.0,0.02274303288787083,0.02274303288787083,0.0,0.02274303288787083,0.02274303288787083,0.02274303288787083,0.02274303288787083
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_breakout_recent,next_open_5d,2023,5,0,0.0,-0.03631725053636681,-0.03631725053636681,0.0,-0.03631725053636681,-0.03631725053636681,-0.03631725053636681,-0.03631725053636681
primary_development_2022_2023_partial,current_contract,sector_leader,s0_distance_only,next_open_5d,2022,5,0,0.0,-0.10238056745787205,-0.10238056745787205,0.0,-0.10238056745787205,-0.10238056745787205,-0.10238056745787205,-0.10238056745787205
