sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_2d,2023,-0.0103613233,-0.3332491208
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_3d,2022,-0.0485401454,-0.2780594009
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_3d,2023,-0.0522540437,-0.2147802282
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_5d,2022,-0.1172105689,-0.4338538234
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_5d,2023,-0.2070595944,-0.342383908
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,2022,-0.4856885151,-0.5249574013
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,protect_3pct_target6pct_3d,2023,0.0931593362,-0.4995952554
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,2022,-0.3424624526,-0.3883733379
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,momentum_trail_4pct_5d,2023,0.0758011186,-0.3523915436
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,2022,-0.385817207,-0.4511136684
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,fast_failure_2pct_target4pct_2d,2023,-0.0121662971,-0.4395948922
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_1d,2022,-0.5185673695,-0.5411915546
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_1d,2023,-0.1317493058,-0.5988533104
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_2d,2022,-0.175844799,-0.269007162
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_2d,2023,0.0858062175,-0.2033880786
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_3d,2022,-0.2515615979,-0.3725063244
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_3d,2023,0.1030662879,-0.3101633066
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_reclaim_acceleration,next_open_5d,2022,0.0423895752,-0.2147783341
