date_idx,trade_date,candidate_count,endpoint_mean,endpoint_mean_log_return
3380,2023-12-01,1687,-0.030130000072354744,-0.03335980383012195
3381,2023-12-04,1686,-0.026947173496029115,-0.030142713387341476
3382,2023-12-05,1683,-0.011090146364263451,-0.013962749837507423
3383,2023-12-06,1684,-0.020740847727733873,-0.02378378687061574
3384,2023-12-07,1678,-0.03357947726674457,-0.03720943310581776
3385,2023-12-08,1682,-0.040449725762551555,-0.044813282915578026
3386,2023-12-11,1683,-0.05051147598802362,-0.0556475653076142
3387,2023-12-12,1680,-0.06025295773508246,-0.06639712134180185
3388,2023-12-13,1679,-0.045459698215164435,-0.05034236805768398
3389,2023-12-14,1678,-0.04696607377781446,-0.052304033475451366
3390,2023-12-15,1676,-0.03810604600616323,-0.043256403206487125
3391,2023-12-18,1668,-0.029720115549267744,-0.034882549403386684
3392,2023-12-19,1663,-0.05236619468763671,-0.058783540917585024
3393,2023-12-20,1661,-0.038073190620316506,-0.043363081991073124
3394,2023-12-21,1658,-0.0573155109713582,-0.0633749076509313
3395,2023-12-22,1652,-0.0941926903348866,-0.10357016819462085
3396,2023-12-25,1652,-0.08551102073739264,-0.09416709264552937
3397,2023-12-26,1654,-0.058751032937006564,-0.06549475123870724
3398,2023-12-27,1654,-0.032311479277910775,-0.03744325528333592
3399,2023-12-28,1654,-0.04786244181014779,-0.05461962277605512
3400,2023-12-29,1656,-0.08108673191572127,-0.09185397106047123
3401,2024-01-02,1648,-0.10322457485926861,-0.11593698276194724
3402,2024-01-03,1652,-0.1324392074600454,-0.15014726402886822
3403,2024-01-04,1647,-0.1388044917859724,-0.15747885745701443
3404,2024-01-05,1651,-0.15212872959787635,-0.1740519995391013
3405,2024-01-08,1649,-0.18247381125392817,-0.21480321800890523
3406,2024-01-09,1655,-0.14821581375156317,-0.1749584018444459
3407,2024-01-10,1651,-0.12495701323059004,-0.15108222053883377
3408,2024-01-11,1657,-0.10624013444669146,-0.1263499566138025
3409,2024-01-12,1654,-0.08465380422889786,-0.09964898024125461
3410,2024-01-15,1652,-0.07973030918660026,-0.09366760787734307
3411,2024-01-16,1653,-0.06935831148515469,-0.08105858025778448
3412,2024-01-17,1648,-0.02850710552268282,-0.03686497189015685
3413,2024-01-18,1645,-0.01568460292485401,-0.022609563067788028
3414,2024-01-19,1642,-0.00125360971458634,-0.006752458684810731
3415,2024-01-22,1642,0.07576596564707933,0.0681994229219103
3416,2024-01-23,1642,0.015661925523106267,0.009927052807008932
3417,2024-01-24,1653,0.03226744419045696,0.02647212730185943
3418,2024-01-25,1658,0.010324903741748262,0.004863827815950207
3419,2024-01-26,1657,0.01366134429245532,0.006992282933822053
3420,2024-01-29,1657,0.037213710719209744,0.029837825571233097
3421,2024-01-30,1653,0.06879945229576265,0.06034532326737888
3422,2024-01-31,1658,0.09844025424905588,0.08838715377762917
3423,2024-02-01,1661,0.11269239446710097,0.10140670826920849
3424,2024-02-02,1674,0.17689664748465594,0.15702490591441093
3425,2024-02-05,1678,0.26940267428029935,0.23061793971299874
3426,2024-02-06,1693,0.18981876537275372,0.1661106622245037
3427,2024-02-07,1701,0.16391126263000674,0.1423159501930795
3428,2024-02-08,1704,0.11909684823899945,0.10599289743493799
3429,2024-02-19,1712,0.13105446346510852,0.11722089870357709
3430,2024-02-20,1713,0.12059446790712841,0.1078066237299159
3431,2024-02-21,1712,0.11130499257869304,0.0995804785424126
3432,2024-02-22,1710,0.09012243179265718,0.08088202847889576
3433,2024-02-23,1699,0.062021707367252564,0.05521328349502492
3434,2024-02-26,1700,0.0440539226446965,0.039040616483803456
3435,2024-02-27,1700,0.016071574773796945,0.012167747564445013
3436,2024-02-28,1698,0.03996415888467333,0.03447346594098971
3437,2024-02-29,1692,0.01528176581273081,0.01035152319312885
3438,2024-03-01,1694,0.017258914150096973,0.01229657961560004
3439,2024-03-04,1695,0.041258131041226546,0.03599562307496091
3440,2024-03-05,1691,0.04409893802907921,0.03839860531773523
3441,2024-03-06,1693,0.029041400326436387,0.023807865087687407
3442,2024-03-07,1691,0.02465942260107171,0.01951929223881262
3443,2024-03-08,1690,0.02360774965922537,0.018689208619760787
3444,2024-03-11,1686,-0.008722195558527247,-0.014034034742756864
3445,2024-03-12,1682,-0.0062918800832404715,-0.012075940426438121
3446,2024-03-13,1681,-0.014123187925879733,-0.020152146448005556
3447,2024-03-14,1684,-0.017356020800222922,-0.02378655085862828
3448,2024-03-15,1688,-0.07433305133996344,-0.08550371763130427
3449,2024-03-18,1683,-0.04622652330694859,-0.05467389600227679
3450,2024-03-19,1685,-0.0401959100480465,-0.048830904224455005
3451,2024-03-20,1680,-0.05367515159693236,-0.06476490640393823
3452,2024-03-21,1682,-0.05747132477197989,-0.06855650867966358
3453,2024-03-22,1687,-0.05062415093351826,-0.06014228428158806
3454,2024-03-25,1678,-0.021644579771359026,-0.028265678290865244
3455,2024-03-26,1681,-0.0212390699230909,-0.027664752920913725
3456,2024-03-27,1673,0.021497129727307638,0.016429974880262557
3457,2024-03-28,1681,0.02137818739204015,0.016851531689036494
3458,2024-03-29,1674,0.001265990264951463,-0.0031985188008207626
3459,2024-04-01,1670,0.003513195783089467,-0.0013516429975857945
3460,2024-04-02,1661,0.011861588225204021,0.007396852300188768
3461,2024-04-03,1653,0.004233678730114696,-0.0002567197096992687
3462,2024-04-08,1655,0.03211084446339415,0.026914596392238324
3463,2024-04-09,1655,0.019524982528869354,0.014262713467515913
3464,2024-04-10,1658,0.03285223016037496,0.026381112250892156
3465,2024-04-11,1658,0.027035150696520398,0.02101921430956004
3466,2024-04-12,1661,0.02729821204765944,0.021722888859242555
3467,2024-04-15,1660,0.041050549146183835,0.03556429437003845
3468,2024-04-16,1659,0.08781407757432354,0.07894739736374619
3469,2024-04-17,1656,0.05852955541537823,0.05175744690289773
3470,2024-04-18,1663,0.05104779716636339,0.044365207828322574
3471,2024-04-19,1672,0.053246569256331665,0.04631811754171041
3472,2024-04-22,1672,0.03682667536961606,0.030920360087901392
3473,2024-04-23,1674,0.03266978629934748,0.02728888289702583
3474,2024-04-24,1686,0.03165561762647936,0.02605875105490719
3475,2024-04-25,1689,0.018424417308678928,0.0132414681876768
3476,2024-04-26,1696,0.004239063463145149,-0.0009126036471020906
3477,2024-04-29,1708,-0.018933923656774675,-0.023753264255072334
3478,2024-04-30,1699,-0.019407661822711184,-0.022941759373365504
3479,2024-05-06,1698,-0.04196849650359472,-0.04647542346328169
3480,2024-05-07,1708,-0.03812061607028223,-0.04284910851818262
3481,2024-05-08,1717,-0.04355203799539502,-0.04830562759660864
3482,2024-05-09,1718,-0.07595333752569776,-0.08392553688404505
3483,2024-05-10,1723,-0.058945544088841485,-0.06447062377122456
3484,2024-05-13,1729,-0.05807484561941481,-0.06313562931787729
3485,2024-05-14,1730,-0.05332982356152349,-0.0581763939861815
3486,2024-05-15,1735,-0.05731451856733135,-0.06262476598148206
3487,2024-05-16,1735,-0.052638178170013754,-0.057754401202135625
3488,2024-05-17,1740,-0.0677205057306822,-0.07454651287709768
3489,2024-05-20,1731,-0.06287170306952689,-0.06921734115794818
3490,2024-05-21,1732,-0.06504030793541679,-0.07152041641932423
3491,2024-05-22,1728,-0.07955944561237832,-0.08754623381442563
3492,2024-05-23,1731,-0.06120835580369386,-0.06784931440405961
3493,2024-05-24,1726,-0.08287167174511695,-0.09147166176814722
3494,2024-05-27,1736,-0.09041230362891976,-0.09873277186997753
3495,2024-05-28,1737,-0.06356292038214628,-0.06917783792414411
3496,2024-05-29,1733,-0.08263554272474116,-0.09019290836833838
3497,2024-05-30,1730,-0.07224958011266067,-0.07890606694298796
3498,2024-05-31,1732,-0.060508445202260494,-0.06589420383484118
3499,2024-06-03,1733,-0.05215088595969615,-0.056680890232724636
3500,2024-06-04,1736,-0.06377618315836146,-0.06904098738055568
3501,2024-06-05,1741,-0.07024645875232999,-0.07624563197902155
3502,2024-06-06,1742,-0.049093771916808596,-0.05345502875915927
3503,2024-06-07,1743,-0.06942148453652337,-0.07547169731087275
3504,2024-06-11,1744,-0.05466591651915486,-0.06038780596548988
3505,2024-06-12,1749,-0.07017727932824715,-0.0771737202482732
3506,2024-06-13,1748,-0.03676981860066074,-0.04143620257434531
3507,2024-06-14,1752,-0.041549460083715156,-0.04615312079267802
3508,2024-06-17,1753,-0.0522135843942337,-0.057561779565747005
3509,2024-06-18,1744,-0.0609596915217886,-0.06696832010455456
3510,2024-06-19,1747,-0.05899643458103252,-0.06451222516083867
3511,2024-06-20,1740,-0.0368240033397368,-0.04108343361268825
3512,2024-06-21,1741,-0.0330661341581552,-0.036885701369519505
3513,2024-06-24,1739,-0.01251899248695341,-0.015720595243874765
3514,2024-06-25,1736,-0.03142292581949833,-0.035413565666774297
3515,2024-06-26,1738,-0.06128079790178204,-0.06711069600702847
3516,2024-06-27,1741,-0.042747793082298424,-0.047247587419114806
3517,2024-06-28,1744,-0.03620689788306521,-0.04026259881863032
3518,2024-07-01,1745,-0.04941077774832056,-0.054542932589065146
3519,2024-07-02,1741,-0.041925931444840886,-0.04676862060526607
3520,2024-07-03,1743,-0.0024890185383977057,-0.005746916470170925
3521,2024-07-04,1740,0.01731815897781772,0.013386278557832832
3522,2024-07-05,1747,0.000670222909396736,-0.003156511842640828
3523,2024-07-08,1744,0.0016080505438471554,-0.0025462731000287253
3524,2024-07-09,1747,0.00015721537993465719,-0.004433406244645633
3525,2024-07-10,1750,-0.009520688596888378,-0.013907689828023479
3526,2024-07-11,1746,-0.0205484990333019,-0.02484403933679062
3527,2024-07-12,1744,-0.02242908218137464,-0.026097554296992023
3528,2024-07-15,1745,-0.018281509414219157,-0.021745417901202067
3529,2024-07-16,1746,-0.01614640548432529,-0.0195825819339388
3530,2024-07-17,1748,-0.009911048263747361,-0.013022579491466303
3531,2024-07-18,1744,-0.005671603183831928,-0.008795178043037808
3532,2024-07-19,1741,-0.01719275183865968,-0.020381875645351637
3533,2024-07-22,1742,-0.016300578113189728,-0.019314533011153646
3534,2024-07-23,1742,-0.008652240546750617,-0.011420544625689597
3535,2024-07-24,1742,0.0030874092943051373,0.00038889177882367633
3536,2024-07-25,1738,-0.018529700701941917,-0.021366373554946864
3537,2024-07-26,1737,-0.03398592021223378,-0.03747689317647835
3538,2024-07-29,1736,-0.024233329733482196,-0.027435939282122308
3539,2024-07-30,1729,-0.04088122917916165,-0.045151686205143995
3540,2024-07-31,1730,-0.07124024162653059,-0.07754746057986266
3541,2024-08-01,1735,-0.05146783842350912,-0.05609636784483186
3542,2024-08-02,1734,-0.024691175426614434,-0.028295648746214146
3543,2024-08-05,1730,-0.03436000785091219,-0.039057158893705056
3544,2024-08-06,1730,-0.02898640032744143,-0.03375332349877579
3545,2024-08-07,1733,-0.03161354559224875,-0.03671542771768659
3546,2024-08-08,1732,-0.030473163943659374,-0.03555529889057364
3547,2024-08-09,1727,-0.03340693489153889,-0.03895745806988284
3548,2024-08-12,1716,-0.03484378864778106,-0.04030376811239841
3549,2024-08-13,1716,-0.03846522488295902,-0.043658831952902426
3550,2024-08-14,1713,-0.03303622135452844,-0.03801572668439388
3551,2024-08-15,1710,-0.047401539318768,-0.05263509746534244
3552,2024-08-16,1706,-0.04796546152445195,-0.05288217902709039
3553,2024-08-19,1706,-0.04955254187931294,-0.05471654174768683
3554,2024-08-20,1709,-0.011185792732532607,-0.015082641764697296
3555,2024-08-21,1705,-0.011673447670847931,-0.015844283603397895
3556,2024-08-22,1708,0.006974581734530722,0.0027120973498817747
3557,2024-08-23,1706,0.04138060084813904,0.03702339378449201
3558,2024-08-26,1707,0.0495844470483081,0.04518904962215598
3559,2024-08-27,1704,0.10346961327740728,0.09473496595266367
3560,2024-08-28,1704,0.15057483621013648,0.1360312841365079
3561,2024-08-29,1702,0.230981728428653,0.20369810045885778
3562,2024-08-30,1707,0.26997942122404767,0.23438179838172313
3563,2024-09-02,1707,0.1968758052927521,0.17347594130586141
3564,2024-09-03,1705,0.1924451166257273,0.17165350141891159
3565,2024-09-04,1704,0.15273979679605731,0.1377413166835686
3566,2024-09-05,1709,0.17492197784778432,0.15643450672898004
3567,2024-09-06,1705,0.17377489371101654,0.15475812222101598
3568,2024-09-09,1708,0.1805445699802525,0.16064186744112016
3569,2024-09-10,1709,0.17612259866925356,0.15689742991389652
3570,2024-09-11,1712,0.20780964905236168,0.1832762460722321
3571,2024-09-12,1717,0.22354744660834053,0.1952037146352105
3572,2024-09-13,1717,0.2540117862568458,0.2197158546325028
3573,2024-09-18,1714,0.2543857670068532,0.21987478988919681
3574,2024-09-19,1718,0.22804246351782317,0.1988454931811022
3575,2024-09-20,1714,0.2521310911906172,0.21756388335895605
3576,2024-09-23,1718,0.26900412121921025,0.2299457995057486
3577,2024-09-24,1714,0.1994624070678794,0.17261903971674142
3578,2024-09-25,1711,0.20713666200674286,0.17766947763043142
3579,2024-09-26,1707,0.1574586034191255,0.13388430882862987
3580,2024-09-27,1701,0.06268578560622576,0.05050072228662818
3581,2024-09-30,1697,-0.056109199878300334,-0.06737309117082621
3582,2024-10-08,1698,0.03357133935050692,0.024029794802399227
