event,year,period,path_target,rows,dates,hit_rate,date_equal_hit_rate,hac_se_date_equal,hac_lcb_date_equal,median_up5_day,median_up10_day
breakout_confirmed,2018,development_2012_2020,up5_before_down3,10107,243,0.3082022360740081,0.3011750824090711,0.019921651169728338,0.2621286461164036,3.0,5.0
breakout_confirmed,2018,development_2012_2020,up10_before_down5,10107,243,0.21678044919362818,0.22883454511225218,0.02024074084126533,0.18916269306337213,3.0,5.0
retest20,2018,development_2012_2020,up5_before_down3,1053,186,0.258309591642925,0.33622285717183653,0.02916976132309826,0.27905012497856396,5.0,8.0
retest20,2018,development_2012_2020,up10_before_down5,1053,186,0.144349477682811,0.215971347874861,0.02748636138438856,0.1620980795614594,5.0,8.0
rebreakout20,2018,development_2012_2020,up5_before_down3,342,143,0.2631578947368421,0.3029420579420579,0.034529124217783744,0.23526497447520178,4.0,8.0
rebreakout20,2018,development_2012_2020,up10_before_down5,342,143,0.1608187134502924,0.19561438561438563,0.0371543280027554,0.12279190272898505,4.0,8.0
climax_fade,2018,development_2012_2020,up5_before_down3,221,132,0.33031674208144796,0.32916666666666666,0.04728697029458967,0.2364842048892709,4.0,7.0
climax_fade,2018,development_2012_2020,up10_before_down5,221,132,0.2669683257918552,0.26515151515151514,0.04298626359273636,0.18089843850975187,4.0,7.0
participation_shock,2019,development_2012_2020,up5_before_down3,97905,244,0.4570246667688065,0.4045974321773413,0.029557316550098547,0.34666509173914817,4.0,7.0
participation_shock,2019,development_2012_2020,up10_before_down5,97905,244,0.3970277309636893,0.33384980846552875,0.03407816104751743,0.26705661281239457,4.0,7.0
positive_participation_shock,2019,development_2012_2020,up5_before_down3,31390,244,0.426027397260274,0.3877546315191257,0.023486259417576878,0.341721563060675,4.0,7.0
positive_participation_shock,2019,development_2012_2020,up10_before_down5,31390,244,0.389327811404906,0.3354494143125678,0.029475387009513854,0.2776776557739207,4.0,7.0
range_expansion,2019,development_2012_2020,up5_before_down3,51552,244,0.43538563004345127,0.39267301939336946,0.025420503198057463,0.34284883312517683,4.0,7.0
range_expansion,2019,development_2012_2020,up10_before_down5,51552,244,0.3689866542520174,0.32747920621928284,0.0310559141158499,0.26660961455221704,4.0,7.0
breakout20,2019,development_2012_2020,up5_before_down3,38088,244,0.42722117202268434,0.40491083067004535,0.022690852820419372,0.3604367591420234,4.0,7.0
breakout20,2019,development_2012_2020,up10_before_down5,38088,244,0.3884425540852762,0.34643399729205326,0.02860111012300515,0.2903758214509632,4.0,7.0
breakout60,2019,development_2012_2020,up5_before_down3,20297,244,0.411932797950436,0.43163816068219113,0.018138872575004895,0.39608597043518157,3.0,6.0
breakout60,2019,development_2012_2020,up10_before_down5,20297,244,0.3904517909050599,0.3877123896257707,0.02324516813066262,0.34215186008967197,3.0,6.0
breakout_confirmed,2019,development_2012_2020,up5_before_down3,18764,244,0.42021956938819016,0.37446584551555057,0.02378353127415053,0.3278501242182155,4.0,7.0
breakout_confirmed,2019,development_2012_2020,up10_before_down5,18764,244,0.3910147090172671,0.3237576060377488,0.028916988638480415,0.2670803083063272,4.0,7.0
retest20,2019,development_2012_2020,up5_before_down3,1720,205,0.4052325581395349,0.42353978420554395,0.03230753112130382,0.3602170232077885,5.0,9.0
retest20,2019,development_2012_2020,up10_before_down5,1720,205,0.3168604651162791,0.2903358009695117,0.03755265293282754,0.21673260122116975,5.0,9.0
