date_idx,trade_date,year,universe_count,is_st_count,calculated_st_rate,feature_st_rate,feature_error,one_day_change
2271,2019-05-13,2019,2857,73,0.025551277563878195,0.02555127814412117,5.80242975195544e-10,0.0
2272,2019-05-14,2019,2857,73,0.025551277563878195,0.02555127814412117,5.80242975195544e-10,0.0
2273,2019-05-15,2019,2858,73,0.025542337298810357,0.02554233744740486,1.4859450475634972e-10,-8.940265067838155e-06
2274,2019-05-16,2019,2859,73,0.02553340328786289,0.02553340420126915,9.134062603499693e-10,-8.934010947467264e-06
2275,2019-05-17,2019,2859,73,0.02553340328786289,0.02553340420126915,9.134062603499693e-10,0.0
2276,2019-05-20,2019,2859,73,0.02553340328786289,0.02553340420126915,9.134062603499693e-10,0.0
2277,2019-05-21,2019,2859,73,0.02553340328786289,0.02553340420126915,9.134062603499693e-10,0.0
2278,2019-05-22,2019,2860,73,0.025524475524475523,0.025524474680423737,-8.440517867969177e-10,-8.927763387366061e-06
2279,2019-05-23,2019,2862,73,0.025506638714185886,0.0255066379904747,-7.237111847302469e-10,-1.783681028963771e-05
2280,2019-05-24,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,8.91528791128332e-06
2281,2019-05-27,2019,2861,70,0.02446696959105208,0.024466969072818756,-5.182333243092252e-10,-0.0010485844110450886
2282,2019-05-28,2019,2861,71,0.02481649772806711,0.024816498160362244,4.3229513371767503e-10,0.0003495281370150295
2283,2019-05-29,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.000699056274030059
2284,2019-05-30,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2285,2019-05-31,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2286,2019-06-03,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2287,2019-06-04,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2288,2019-06-05,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2289,2019-06-06,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2290,2019-06-10,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2291,2019-06-11,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2292,2019-06-12,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2293,2019-06-13,2019,2861,73,0.02551555400209717,0.02551555447280407,4.707069005405184e-10,0.0
2294,2019-06-14,2019,2862,73,0.025506638714185886,0.0255066379904747,-7.237111847302469e-10,-8.91528791128332e-06
